step,agent_id,x,y,toxicload
1,5,517.0,420.0,0.0
1,56,447.0,504.0,0.0
1,35,517.0,473.0,0.0
1,55,512.0,475.0,0.0
1,60,479.0,468.0,0.0
1,30,454.0,439.0,0.01
1,32,459.0,502.0,0.0
1,6,455.0,487.0,0.0
1,67,507.0,424.0,0.0
1,45,466.0,438.0,0.01
1,73,443.0,477.0,0.0
1,64,501.0,445.0,0.0
1,90,478.0,485.0,0.0
1,4,509.0,428.0,0.0
1,13,538.0,438.0,0.0
1,54,480.0,445.0,0.0
1,63,502.0,501.0,0.0
1,86,447.0,467.0,0.0
1,91,526.0,502.0,0.0
1,62,523.0,474.0,0.0
1,58,472.0,418.0,0.01
1,52,479.0,418.0,0.0
1,12,445.0,417.0,0.01
1,28,479.0,490.0,0.0
1,75,443.0,424.0,0.01
1,23,510.0,421.0,0.0
1,92,492.0,477.0,0.0
1,41,456.0,487.0,0.0
1,43,521.0,414.0,0.0
1,11,504.0,431.0,0.0
1,36,506.0,467.0,0.0
1,68,513.0,413.0,0.0
1,69,449.0,437.0,0.01
1,98,442.0,500.0,0.0
1,82,470.0,411.0,0.01
1,85,526.0,409.0,0.0
1,39,483.0,504.0,0.0
1,84,522.0,446.0,0.0
1,77,449.0,493.0,0.0
1,7,504.0,426.0,0.0
1,25,448.0,458.0,0.01
1,95,523.0,506.0,0.0
1,71,473.0,502.0,0.0
1,66,507.0,505.0,0.0
1,76,477.0,489.0,0.0
1,34,479.0,409.0,0.0
1,50,448.0,442.0,0.01
1,59,502.0,441.0,0.0
1,93,449.0,442.0,0.01
1,2,485.0,445.0,0.0
1,10,454.0,426.0,0.01
1,18,458.0,418.0,0.01
1,26,472.0,414.0,0.01
1,27,453.0,409.0,0.01
1,42,441.0,482.0,0.0
1,87,505.0,455.0,0.0
1,100,530.0,428.0,0.0
1,79,516.0,470.0,0.0
1,16,487.0,488.0,0.0
1,20,457.0,478.0,0.0
1,81,527.0,410.0,0.0
1,19,442.0,464.0,0.0
1,49,482.0,429.0,0.0
1,44,469.0,440.0,0.01
1,9,536.0,504.0,0.0
1,31,468.0,418.0,0.01
1,74,512.0,437.0,0.0
1,61,458.0,468.0,0.0
1,29,493.0,442.0,0.0
1,94,487.0,420.0,0.0
1,46,510.0,446.0,0.0
1,57,446.0,436.0,0.01
1,70,536.0,501.0,0.0
1,21,513.0,476.0,0.0
1,38,533.0,493.0,0.0
1,88,505.0,486.0,0.0
1,78,516.0,408.0,0.0
1,72,454.0,479.0,0.0
1,24,443.0,477.0,0.0
1,8,495.0,453.0,0.0
1,17,499.0,454.0,0.0
1,37,500.0,481.0,0.0
1,1,441.0,460.0,0.01
1,53,511.0,470.0,0.0
1,22,446.0,493.0,0.0
1,47,498.0,470.0,0.0
1,83,495.0,475.0,0.0
1,99,482.0,408.0,0.0
1,89,474.0,460.0,0.0
1,14,453.0,457.0,0.01
1,3,495.0,416.0,0.0
1,80,517.0,419.0,0.0
1,96,442.0,483.0,0.0
1,51,515.0,430.0,0.0
1,33,509.0,431.0,0.0
1,40,528.0,407.0,0.0
1,48,532.0,423.0,0.0
1,15,537.0,420.0,0.0
1,65,457.0,487.0,0.0
1,97,450.0,476.0,0.0
2,5,517.0,420.0,0.0
2,56,447.0,504.0,0.0
2,35,517.0,473.0,0.0
2,55,512.0,475.0,0.0
2,60,479.0,468.0,0.0
2,30,454.0,439.0,0.02
2,32,459.0,502.0,0.0
2,6,455.0,487.0,0.0
2,67,507.0,424.0,0.0
2,45,466.0,438.0,0.02
2,73,443.0,477.0,0.0
2,64,501.0,445.0,0.0
2,90,478.0,485.0,0.0
2,4,509.0,428.0,0.0
2,13,538.0,438.0,0.0
2,54,480.0,445.0,0.0
2,63,502.0,501.0,0.0
2,86,447.0,467.0,0.0
2,91,526.0,502.0,0.0
2,62,523.0,474.0,0.0
2,58,472.0,418.0,0.02
2,52,479.0,418.0,0.0
2,12,445.0,417.0,0.02
2,28,479.0,490.0,0.0
2,75,443.0,424.0,0.02
2,23,510.0,421.0,0.0
2,92,492.0,477.0,0.0
2,41,456.0,487.0,0.0
2,43,521.0,414.0,0.0
2,11,504.0,431.0,0.0
2,36,506.0,467.0,0.0
2,68,513.0,413.0,0.0
2,69,449.0,437.0,0.02
2,98,442.0,500.0,0.0
2,82,470.0,411.0,0.02
2,85,526.0,409.0,0.0
2,39,483.0,504.0,0.0
2,84,522.0,446.0,0.0
2,77,449.0,493.0,0.0
2,7,504.0,426.0,0.0
2,25,448.0,458.0,0.02
2,95,523.0,506.0,0.0
2,71,473.0,502.0,0.0
2,66,507.0,505.0,0.0
2,76,477.0,489.0,0.0
2,34,479.0,409.0,0.0
2,50,448.0,442.0,0.02
2,59,502.0,441.0,0.0
2,93,449.0,442.0,0.02
2,2,485.0,445.0,0.0
2,10,454.0,426.0,0.02
2,18,458.0,418.0,0.02
2,26,472.0,414.0,0.02
