;A* Dynamic;;;;;;;D*lite;;;;;;;A* Static;;;;;;;A* Blank;;;;;
Agents;100;75;50;25;10;5;;100;75;50;25;10;5;;100;75;50;25;10;5;;100;75;50;25;10;5
Average initial pathfinding time (s);131,25;101,18;68,01;35,16;12,96;6,51;;47,35;45,74;44,98;44,47;43,53;42,47;;51,54;37,50;24,17;14,30;5,17;2,58;;49,92;37,87;25,08;12,25;4,92;2,559103527
Average incremental pathfinding time (s);602,74;460,30;309,93;157,79;60,03;29,23;;450,76;441,80;436,33;428,56;413,36;409,78;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0
Average total pathfinding time (s);734,00;561,49;377,94;192,96;72,98;35,75;;498,11;487,54;481,32;473,03;456,89;452,25;;51,54;37,50;24,17;14,30;5,17;2,58;;49,92;37,87;25,08;12,25;4,92;2,559103527
Average simulation time (s);4,97;2,98;1,50;0,48;0,08;0,03;;0,43;0,31;0,19;0,11;0,05;0,03;;3,66;2,03;0,95;0,38;0,07;0,05;;3,44;1,96;0,98;0,33;0,08;0,041930191
Average TL;29,38;21,09;14,77;7,29;2,81;1,37;;53,90;41,56;26,76;12,11;5,61;2,42;;42,17;32,42;22,18;10,70;4,50;2,12;;45,32;34,94;23,11;11,58;4,42;2,6017
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;10;25;50;75;100;;5;10;25;50;75;100;;5;10;25;50;75;100;;5;10;25;50;75;100
Average initial pathfinding time (s);6,51;12,96;35,16;68,01;101,18;131,25;;42,47;43,53;44,47;44,98;45,74;47,35;;2,58;5,17;14,30;24,17;37,50;51,54;;2,56;4,92;12,25;25,08;37,87;49,92
Average incremental pathfinding time (s);29,23;60,03;157,79;309,93;460,30;602,74;;409,78;413,36;428,56;436,33;441,80;450,76;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00
Average total pathfinding time (s);35,75;72,98;192,96;377,94;561,49;734,00;;452,25;456,89;473,03;481,32;487,54;498,11;;2,58;5,17;14,30;24,17;37,50;51,54;;2,56;4,92;12,25;25,08;37,87;49,92
Average simulation time (s);0,03;0,08;0,48;1,50;2,98;4,97;;0,03;0,05;0,11;0,19;0,31;0,43;;0,05;0,07;0,38;0,95;2,03;3,66;;0,04;0,08;0,33;0,98;1,96;3,44
Average TL;1,37;2,81;7,29;14,77;21,09;29,38;;2,42;5,61;12,11;26,76;41,56;53,90;;2,12;4,50;10,70;22,18;32,42;42,17;;2,60;4,42;11,58;23,11;34,94;45,32
