step,agent_id,x,y,toxicload
1,5,576.5730925158773,311.2807224523682,0.0
1,4,539.9545941546019,347.95459415460186,0.0
1,2,429.04540584539814,433.04540584539814,0.0
1,3,474.95459415460186,290.9545941546018,0.0
1,1,230.0454058453982,505.04540584539814,0.0
2,5,575.7088456795462,312.29115432045376,0.0
2,4,540.9091883092037,348.9091883092037,0.0
2,2,428.0908116907963,432.0908116907963,0.0
2,3,475.90918830920367,291.90918830920367,0.0
2,1,229.09081169079633,504.09081169079633,0.0
3,5,574.7542515249444,313.2457484750556,0.0
3,4,541.8637824638056,349.8637824638056,0.0
3,2,427.1362175361944,431.1362175361944,0.0
3,3,476.1362175361944,292.86378246380553,0.0
3,1,228.49999999999997,502.98553390593275,0.0
4,5,573.7996573703425,314.2003426296575,0.0
4,4,542.8183766184075,350.81837661840746,0.0
4,2,426.18162338159254,430.18162338159254,0.0
4,3,475.1816233815926,293.8183766184074,0.0
4,1,229.1112698372208,501.8887301627792,0.0
5,5,572.8450632157407,315.15493678425935,0.0
5,4,543.7729707730093,351.7729707730093,0.0
5,2,425.2270292269907,429.2270292269907,0.0
5,3,474.11396103067887,294.5,0.0
5,1,228.93413600817735,500.9341360081774,0.0
6,5,571.8904690611388,316.1095309388612,0.0
6,4,544.7275649276112,352.7275649276112,0.0
6,2,424.17817459305184,428.5,0.0
6,3,472.76396103067884,294.5,0.0
6,1,227.9795418535755,499.97954185357554,0.0
7,5,570.9358749065369,317.0641250934631,0.0
7,4,545.682159082213,353.31784091778695,0.0
7,2,423.02494769897356,428.97505230102644,0.0
7,3,471.7320544801601,295.2679455198398,0.0
7,1,227.97505230102632,499.0249476989737,0.0
8,5,569.9812807519351,318.01871924806494,0.0
8,4,546.693398282202,352.5,0.0
8,2,422.0703535443717,429.0703535443717,0.0
8,3,471.4845671067448,296.51543289325514,0.0
8,1,228.49999999999997,497.8923881554251,0.0
9,5,568.8306337666957,318.5,0.0
9,4,547.8842406102301,352.11575938976983,0.0
9,2,420.95660171779804,428.5,0.0
9,3,470.529972952143,297.47002704785706,0.0
9,1,228.49999999999997,496.5423881554251,0.0
10,5,567.7791992239179,319.2208007760821,0.0
10,4,548.838834764832,351.161165235168,0.0
10,2,419.8682720163546,427.8682720163546,0.0
10,3,469.19238815542496,297.5,0.0
10,1,228.2824855787278,495.2824855787278,0.0
11,5,566.824605069316,318.824605069316,0.0
11,4,549.5,350.0850288425442,0.0
11,2,418.9136778617527,428.0863221382473,0.0
11,3,468.0349982053124,297.96500179468757,0.0
11,1,227.32789142412597,494.32789142412594,0.0
12,5,565.6090608914418,318.5,0.0
12,4,549.5,348.7350288425442,0.0
12,2,418.5,429.2649711574558,0.0
12,3,467.0804040507105,298.91959594928943,0.0
12,1,226.37329726952413,493.3732972695241,0.0
13,5,564.622523541299,317.6225235412989,0.0
13,4,550.2884036662645,347.7115963337356,0.0
13,2,417.7115963337356,430.2884036662644,0.0
13,3,465.9708152801711,299.5,0.0
13,1,225.41870311492227,492.41870311492227,0.0
14,5,563.6679293866971,316.6679293866971,0.0
14,4,549.7570021791337,346.75700217913374,0.0
14,2,416.75700217913374,429.75700217913374,0.0
14,3,464.8783225226934,300.1216774773066,0.0
14,1,224.5,491.44924240491747,0.0
15,5,562.7133352320952,315.71333523209523,0.0
15,4,550.1975919754682,345.80240802453187,0.0
15,2,415.5134559672904,429.5,0.0
15,3,463.6850288425442,300.5,0.0
15,1,224.21662158690512,490.21662158690515,0.0
16,5,563.2412589225066,314.75874107749337,0.0
16,4,551.15218613007,344.84781386993,0.0
16,2,414.5549206511166,430.4450793488834,0.0
16,3,462.3350288425442,300.5,0.0
16,1,223.73797256769672,489.2620274323033,0.0
17,5,563.5,313.51591514093417,0.0
17,4,551.5,343.64188309203644,0.0
17,2,413.60032649651475,431.39967350348525,0.0
17,3,461.1358604024475,300.8641395975525,0.0
17,1,224.30743327770145,488.3074332777014,0.0
18,5,562.5566595494763,312.55665954947625,0.0
18,4,550.6457323419129,342.64573234191283,0.0
18,2,412.6457323419129,432.3542676580871,0.0
18,3,460.18126624784566,301.18126624784566,0.0
18,1,223.35283912309959,487.3528391230996,0.0
19,5,561.6020653948744,311.60206539487444,0.0
19,4,551.308861812689,341.691138187311,0.0
19,2,411.691138187311,433.308861812689,0.0
19,3,459.2266720932438,300.7733279067562,0.0
19,1,222.60175503150225,486.39824496849775,0.0
20,5,560.6474712402726,310.6474712402726,0.0
20,4,551.5563491861043,340.4436508138957,0.0
20,2,410.4436508138957,433.4436508138957,0.0
20,3,458.2720779386419,301.727922061358,0.0
20,1,223.4436508138959,485.4436508138959,0.0
21,5,560.5,309.35855582805345,0.0
21,4,552.4890566592939,339.48905665929385,0.0
21,2,409.48905665929385,432.51094334070615,0.0
21,3,457.3174837840401,302.6825162159599,0.0
21,1,222.5,484.484523779156,0.0
22,5,560.847503506558,308.152496493442,0.0
22,4,551.534462504692,338.534462504692,0.0
22,2,408.534462504692,433.465537495308,0.0
22,3,456.3060966544096,303.5,0.0
22,1,222.24156928587877,483.24156928587877,0.0
23,5,561.1979023388401,307.19790233884015,0.0
23,4,552.4201316499099,337.5798683500901,0.0
23,2,407.5798683500901,434.4201316499099,0.0
23,3,455.115402256023,303.884597743977,0.0
23,1,221.28697513127693,482.2869751312769,0.0
24,5,560.2433081842382,306.2433081842383,0.0
24,4,551.6252741954883,336.62527419548826,0.0
24,2,406.62527419548826,433.62527419548826,0.0
24,3,454.0203102167827,304.5,0.0
24,1,220.33238097667507,481.3323809766751,0.0
25,5,559.2887140296364,305.2887140296364,0.0
25,4,552.3293199591136,335.6706800408864,0.0
25,2,405.37778682207295,433.62221317792705,0.0
25,3,452.9133207280059,305.0866792719941,0.0
25,1,219.5,480.3271644662753,0.0
26,5,558.3341198750345,304.33411987503456,0.0
26,4,553.2839141137155,334.71608588628453,0.0
26,2,404.3913780286479,434.5,0.0
26,3,451.73452377915584,305.5,0.0
26,1,219.13029944865798,479.130299448658,0.0
27,5,557.3795257204326,303.3795257204327,0.0
27,4,552.7614917316827,333.76149173168267,0.0
27,2,403.1757052940558,434.8242947059442,0.0
27,3,450.71123919998877,306.28876080001123,0.0
27,1,218.17570529405614,478.1757052940561,0.0
28,5,556.5,302.3938372022918,0.0
28,4,551.8068975770808,332.8068975770808,0.0
28,2,402.2211111394539,435.7788888605461,0.0
28,3,449.46375182657346,306.53624817342654,0.0
28,1,217.77888886054572,477.2211111394543,0.0
29,5,556.1774441924155,301.1774441924155,0.0
29,4,550.8523034224789,331.85230342247894,0.0
29,2,401.26651698485205,436.73348301514795,0.0
29,3,448.5091576719716,307.4908423280284,0.0
29,1,218.73348301514756,476.26651698485244,0.0
30,5,555.7771499621864,300.22285003781366,0.0
30,4,549.8977092678771,330.8977092678771,0.0
30,2,400.3119228302502,437.3119228302502,0.0
30,3,447.162950903902,307.5,0.0
30,1,219.3119228302506,475.3119228302506,0.0
31,5,556.2682558832117,299.2682558832118,0.0
31,4,549.5,329.7124458405132,0.0
31,2,399.3573286756483,436.6426713243517,0.0
31,3,445.812950903902,307.5,0.0
31,1,218.35732867564874,474.3573286756488,0.0
32,5,555.6863382713901,298.31366172860993,0.0
32,4,549.4027345210465,328.4027345210465,0.0
