step;agent_id;x;y;toxicload
1;5;577.0;310.0;0.0
1;4;539.0;347.0;0.0
1;6;291.0;636.0;0.0
1;7;516.0;338.0;0.0
1;2;430.0;434.0;0.0
1;10;290.0;342.0;0.0
1;9;659.0;718.0;0.0
1;8;476.0;473.0;0.0
1;3;474.0;290.0;0.0
1;1;231.0;506.0;0.0
2;5;5.767.237.900.905.540;31.027.620.990.944.500;0.0
2;4;5.392.762.099.094.450;34.727.620.990.944.500;0.0
2;6;29.072.379.009.055.400;6.357.237.900.905.540;0.0
2;7;5.162.762.099.094.450;33.772.379.009.055.400;0.0
2;2;42.972.379.009.055.400;43.372.379.009.055.400;0.0
2;10;290.0;3.416.093.802;0.0
2;9;6.592.762.099.094.450;7.182.762.099.094.450;0.0
2;8;47.627.620.990.944.500;47.327.620.990.944.500;0.0
2;3;47.427.620.990.944.500;29.027.620.990.944.500;0.0
2;1;23.072.379.009.055.400;50.572.379.009.055.400;0.0
3;5;5.764.475.801.811.080;31.055.241.981.889.100;0.0
3;4;5.395.524.198.188.910;34.755.241.981.889.100;0.0
3;6;29.044.758.018.110.800;6.354.475.801.811.080;0.0
3;7;5.165.524.198.188.910;33.744.758.018.110.800;0.0
3;2;4.294.475.801.811.080;4.334.475.801.811.080;0.0
3;10;290.0;34.121.876.039.999.900;0.0
3;9;6.595.524.198.188.910;7.185.524.198.188.910;0.0
3;8;4.765.524.198.188.910;4.735.524.198.188.910;0.0
3;3;4.745.524.198.188.910;2.905.524.198.188.910;0.0
3;1;23.044.758.018.110.800;5.054.475.801.811.080;0.0
4;5;5.761.713.702.716.620;31.082.862.972.833.700;0.0
4;4;5.398.286.297.283.370;34.782.862.972.833.700;0.0
4;6;29.017.137.027.166.200;6.351.713.702.716.620;0.0
4;7;5.168.286.297.283.370;33.717.137.027.166.200;0.0
4;2;42.917.137.027.166.200;43.317.137.027.166.200;0.0
4;10;290.0;341.0;0.0
4;9;6.598.286.297.283.370;7.188.286.297.283.370;0.0
4;8;47.682.862.972.833.700;47.382.862.972.833.700;0.0
4;3;47.482.862.972.833.700;29.082.862.972.833.700;0.0
4;1;2.301.713.702.716.620;5.051.713.702.716.620;0.0
5;5;576.0;311.0;0.0
5;4;540.0;348.0;0.0
5;6;290.0;635.0;0.0
5;7;517.0;337.0;0.0
5;2;429.0;433.0;0.0
5;10;29.027.620.990.944.500;34.072.379.009.055.400;0.0
5;9;660.0;719.0;0.0
5;8;477.0;474.0;0.0
5;3;475.0;291.0;0.0
5;1;230.0;505.0;0.0
6;5;5.757.237.900.905.540;31.127.620.990.944.500;0.0
6;4;5.402.762.099.094.450;34.827.620.990.944.500;0.0
6;6;2.896.093.802;635.0;0.0
6;7;5.172.762.099.094.450;33.672.379.009.055.400;0.0
6;2;42.872.379.009.055.400;43.272.379.009.055.400;0.0
6;10;2.905.524.198.188.910;3.404.475.801.811.080;0.0
6;9;6.602.762.099.094.450;7.192.762.099.094.450;0.0
6;8;47.727.620.990.944.500;47.427.620.990.944.500;0.0
6;3;47.527.620.990.944.500;29.127.620.990.944.500;0.0
6;1;22.972.379.009.055.400;50.472.379.009.055.400;0.0
7;5;5.754.475.801.811.080;31.155.241.981.889.100;0.0
7;4;5.405.524.198.188.910;34.855.241.981.889.100;0.0
7;6;28.921.876.039.999.900;635.0;0.0
7;7;5.175.524.198.188.910;33.644.758.018.110.800;0.0
7;2;4.284.475.801.811.080;4.324.475.801.811.080;0.0
7;10;29.082.862.972.833.700;34.017.137.027.166.200;0.0
7;9;6.605.524.198.188.910;7.195.524.198.188.910;0.0
7;8;4.775.524.198.188.910;4.745.524.198.188.910;0.0
7;3;4.755.524.198.188.910;2.915.524.198.188.910;0.0
7;1;22.944.758.018.110.800;5.044.475.801.811.080;0.0
8;5;5.751.713.702.716.620;31.182.862.972.833.700;0.0
8;4;5.408.286.297.283.370;34.882.862.972.833.700;0.0
8;6;289.0;635.0;0.0
8;7;5.178.286.297.283.370;33.617.137.027.166.200;0.0
8;2;42.817.137.027.166.200;43.217.137.027.166.200;0.0
8;10;291.0;340.0;0.0
8;9;6.608.286.297.283.370;7.198.286.297.283.370;0.0
8;8;47.782.862.972.833.700;47.482.862.972.833.700;0.0
