step,agent_id,x,y,toxicload
1,5,577.0,310.0,0.0
1,4,539.0,347.0,0.0
1,6,291.0,636.0,0.0
1,7,516.0,338.0,0.0
1,2,430.0,434.0,0.0
1,10,290.0,342.0,0.0
1,9,659.0,718.0,0.0
1,8,476.0,473.0,0.0
1,3,474.0,290.0,0.0
1,1,231.0,506.0,0.0
2,5,576.0454058453981,310.95459415460186,0.0
2,4,539.9545941546019,347.95459415460186,0.0
2,6,290.04540584539814,635.0454058453981,0.0
2,7,516.9545941546019,337.04540584539814,0.0
2,2,429.04540584539814,433.04540584539814,0.0
2,10,290.0,341.0,0.0
2,9,659.9545941546019,718.9545941546019,0.0
2,8,476.95459415460186,473.95459415460186,0.0
2,3,474.95459415460186,290.95459415460186,0.0
2,1,230.04540584539816,505.04540584539814,0.0
3,5,576.0,311.0,0.0
3,4,540.0,348.0,0.0
3,6,290.0,635.0,0.0
3,7,517.0,337.0,0.0
3,2,429.0,433.0,0.0
3,10,290.95459415460186,340.04540584539814,0.0
3,9,660.0,719.0,0.0
3,8,477.0,474.0,0.0
3,3,475.0,291.0,0.0
3,1,230.0,505.0,0.0
4,5,575.0454058453981,311.95459415460186,0.0
4,4,540.9545941546019,348.95459415460186,0.0
4,6,289.0,635.0,0.0
4,7,517.9545941546019,336.04540584539814,0.0
4,2,428.04540584539814,432.04540584539814,0.0
4,10,291.0,340.0,0.0
4,9,660.9545941546019,719.9545941546019,0.0
4,8,477.95459415460186,474.95459415460186,0.0
4,3,475.95459415460186,291.95459415460186,0.0
4,1,229.04540584539816,504.04540584539814,0.0
5,5,575.0,312.0,0.0
5,4,541.0,349.0,0.0
5,6,288.0,635.0,0.0
5,7,518.0,336.0,0.0
5,2,428.0,432.0,0.0
5,10,291.95459415460186,339.04540584539814,0.0
5,9,661.0,720.0,0.0
5,8,478.0,475.0,0.0
5,3,476.0,292.0,0.0
5,1,229.0,504.0,0.0
6,5,574.0454058453981,312.95459415460186,0.0
6,4,541.9545941546019,349.95459415460186,0.0
6,6,287.04540584539814,634.0454058453981,0.0
6,7,518.9545941546019,335.04540584539814,0.0
6,2,427.04540584539814,431.04540584539814,0.0
6,10,292.0,339.0,0.0
6,9,661.9545941546019,720.9545941546019,0.0
6,8,478.95459415460186,475.95459415460186,0.0
6,3,476.95459415460186,292.95459415460186,0.0
6,1,229.0,503.0,0.0
7,5,574.0,313.0,0.0
7,4,542.0,350.0,0.0
7,6,287.0,634.0,0.0
7,7,519.0,335.0,0.0
7,2,427.0,431.0,0.0
7,10,292.95459415460186,338.04540584539814,0.0
7,9,662.0,721.0,0.0
7,8,479.0,476.0,0.0
7,3,477.0,293.0,0.0
7,1,229.0,502.0,0.0
8,5,573.0454058453981,313.95459415460186,0.0
8,4,542.9545941546019,350.95459415460186,0.0
8,6,286.04540584539814,633.0454058453981,0.0
8,7,519.9545941546019,334.04540584539814,0.0
8,2,426.04540584539814,430.04540584539814,0.0
8,10,293.0,338.0,0.0
8,9,662.9545941546019,721.9545941546019,0.0
8,8,479.95459415460186,476.95459415460186,0.0
8,3,476.04540584539814,293.95459415460186,0.0
8,1,229.0,501.0,0.0
9,5,573.0,314.0,0.0
9,4,543.0,351.0,0.0
9,6,286.0,633.0,0.0
9,7,520.0,334.0,0.0
9,2,426.0,430.0,0.0
9,10,293.95459415460186,337.04540584539814,0.0
9,9,663.0,722.0,0.0
9,8,480.0,477.0,0.0
9,3,476.0,294.0,0.0
9,1,228.04540584539816,500.04540584539814,0.0
10,5,572.0,314.0,0.0
10,4,543.9545941546019,351.95459415460186,0.0
10,6,285.04540584539814,632.0454058453981,0.0
10,7,520.9545941546019,333.04540584539814,0.0
10,2,425.04540584539814,429.04540584539814,0.0
10,10,294.0,337.0,0.0
10,9,663.9545941546019,722.9545941546019,0.0
10,8,480.95459415460186,477.95459415460186,0.0
10,3,475.04540584539814,294.95459415460186,0.0
10,1,228.0,500.0,0.0
11,5,571.0454058453981,314.95459415460186,0.0
11,4,544.0,352.0,0.0
11,6,285.0,632.0,0.0
11,7,521.0,333.0,0.0
11,2,425.0,429.0,0.0
11,10,294.95459415460186,336.04540584539814,0.0
11,9,664.0,723.0,0.0
11,8,481.0,478.0,0.0
