step,agent_id,x,y,toxicload
1,5,577.0,310.0,0.0
1,4,539.0,347.0,0.0
1,2,430.0,434.0,0.0
1,3,474.0,290.0,0.0
1,1,231.0,506.0,0.0
2,5,576.0454058453981,310.95459415460186,0.0
2,4,539.9545941546019,347.95459415460186,0.0
2,2,429.04540584539814,433.04540584539814,0.0
2,3,474.95459415460186,290.95459415460186,0.0
2,1,230.04540584539816,505.04540584539814,0.0
3,5,576.0,311.0,0.0
3,4,540.0,348.0,0.0
3,2,429.0,433.0,0.0
3,3,475.0,291.0,0.0
3,1,230.0,505.0,0.0
4,5,575.0454058453981,311.95459415460186,0.0
4,4,540.9545941546019,348.95459415460186,0.0
4,2,428.04540584539814,432.04540584539814,0.0
4,3,475.95459415460186,291.95459415460186,0.0
4,1,229.04540584539816,504.04540584539814,0.0
5,5,575.0,312.0,0.0
5,4,541.0,349.0,0.0
5,2,428.0,432.0,0.0
5,3,476.0,292.0,0.0
5,1,229.0,504.0,0.0
6,5,574.0454058453981,312.95459415460186,0.0
6,4,541.9545941546019,349.95459415460186,0.0
6,2,427.04540584539814,431.04540584539814,0.0
6,3,476.95459415460186,292.95459415460186,0.0
6,1,229.0,503.0,0.0
7,5,574.0,313.0,0.0
7,4,542.0,350.0,0.0
7,2,427.0,431.0,0.0
7,3,477.0,293.0,0.0
7,1,229.0,502.0,0.0
8,5,573.0454058453981,313.95459415460186,0.0
8,4,542.9545941546019,350.95459415460186,0.0
8,2,426.04540584539814,430.04540584539814,0.0
8,3,476.04540584539814,293.95459415460186,0.0
8,1,229.0,501.0,0.0
9,5,573.0,314.0,0.0
9,4,543.0,351.0,0.0
9,2,426.0,430.0,0.0
9,3,476.0,294.0,0.0
9,1,228.04540584539816,500.04540584539814,0.0
10,5,572.0,314.0,0.0
10,4,543.9545941546019,351.95459415460186,0.0
10,2,425.04540584539814,429.04540584539814,0.0
10,3,475.04540584539814,294.95459415460186,0.0
10,1,228.0,500.0,0.0
11,5,571.0454058453981,314.95459415460186,0.0
11,4,544.0,352.0,0.0
11,2,425.0,429.0,0.0
11,3,475.0,295.0,0.0
11,1,228.95459415460184,499.04540584539814,0.0
12,5,571.0,315.0,0.0
12,4,544.9545941546019,352.95459415460186,0.0
12,2,424.04540584539814,428.04540584539814,0.0
12,3,474.0,295.0,0.0
12,1,229.0,499.0,0.0
13,5,570.0454058453981,315.95459415460186,0.0
13,4,545.0,353.0,0.0
13,2,424.0,428.0,0.0
13,3,473.0,295.0,0.0
13,1,229.0,498.0,0.0
14,5,570.0,316.0,0.0
14,4,545.9545941546019,353.95459415460186,0.0
14,2,423.04540584539814,427.04540584539814,0.0
14,3,472.04540584539814,295.95459415460186,0.0
14,1,229.0,497.0,0.0
15,5,569.0454058453981,316.95459415460186,0.0
15,4,546.0,354.0,0.0
15,2,423.0,427.0,0.0
15,3,472.0,296.0,0.0
15,1,229.0,496.0,0.0
16,5,569.0,317.0,0.0
16,4,546.9545941546019,353.04540584539814,0.0
16,2,422.04540584539814,427.95459415460186,0.0
16,3,472.0,297.0,0.0
16,1,228.04540584539816,495.04540584539814,0.0
17,5,568.0454058453981,317.95459415460186,0.0
17,4,547.0,353.0,0.0
17,2,422.0,428.0,0.0
17,3,471.04540584539814,297.95459415460186,0.0
17,1,228.0,495.0,0.0
18,5,568.0,318.0,0.0
18,4,548.0,353.0,0.0
18,2,421.04540584539814,428.95459415460186,0.0
18,3,471.0,298.0,0.0
18,1,227.04540584539816,494.04540584539814,0.0
19,5,567.0454058453981,318.95459415460186,0.0
19,4,548.9545941546019,352.04540584539814,0.0
19,2,421.0,429.0,0.0
19,3,470.0,298.0,0.0
19,1,227.0,494.0,0.0
20,5,567.0,319.0,0.0
20,4,549.0,352.0,0.0
20,2,420.04540584539814,428.04540584539814,0.0
20,3,469.0,298.0,0.0
20,1,226.04540584539816,493.04540584539814,0.0
21,5,566.0,319.0,0.0
21,4,549.9545941546019,351.04540584539814,0.0
21,2,420.0,428.0,0.0
21,3,468.04540584539814,298.95459415460186,0.0
21,1,226.0,493.0,0.0
22,5,565.0454058453981,318.04540584539814,0.0
22,4,550.0,351.0,0.0
22,2,419.04540584539814,428.95459415460186,0.0
