step,agent_id,x,y,toxicload
1,5,449.0,655.0,0.0
1,4,410.0,631.0,0.0
1,2,581.0,315.0,0.0
1,3,231.0,458.0,0.0
1,1,468.0,323.0,0.0
2,5,449.0,654.6093802,0.0
2,4,410.27620990944575,631.2762099094457,0.0
2,2,580.7237900905543,315.27620990944575,0.0
2,3,230.6093802,458.0,0.0
2,1,467.72379009055425,322.72379009055425,0.0
3,5,449.0,654.2187604000001,0.0
3,4,410.55241981889145,631.5524198188914,0.0
3,2,580.4475801811086,315.55241981889145,0.0
3,3,230.2187604,458.0,0.0
3,1,467.4475801811085,322.4475801811085,0.0
4,5,449.0,654.0,0.0
4,4,410.82862972833715,631.8286297283371,0.0
4,2,580.1713702716629,315.82862972833715,0.0
4,3,230.0,458.0,0.0
4,1,467.17137027166274,322.17137027166274,0.0
5,5,448.72379009055425,653.7237900905543,0.0
5,4,411.0,632.0,0.0
5,2,580.0,316.0,0.0
5,3,229.6093802,458.0,0.0
5,1,467.0,322.0,0.0
6,5,448.44758018110855,653.4475801811086,0.0
6,4,411.27620990944575,632.2762099094457,0.0
6,2,579.7237900905543,316.27620990944575,0.0
6,3,229.2187604,458.0,0.0
6,1,466.72379009055425,321.72379009055425,0.0
7,5,448.17137027166285,653.1713702716629,0.0
7,4,411.55241981889145,632.5524198188914,0.0
7,2,579.4475801811086,316.55241981889145,0.0
7,3,229.0,458.0,0.0
7,1,466.4475801811085,321.4475801811085,0.0
8,5,448.0,653.0,0.0
8,4,411.82862972833715,632.8286297283371,0.0
8,2,579.1713702716629,316.82862972833715,0.0
8,3,228.72379009055427,458.27620990944575,0.0
8,1,466.17137027166274,321.17137027166274,0.0
9,5,447.72379009055425,652.7237900905543,0.0
9,4,412.0,633.0,0.0
9,2,579.0,317.0,0.0
9,3,228.44758018110855,458.5524198188915,0.0
9,1,466.0,321.0,0.0
10,5,447.44758018110855,652.4475801811086,0.0
10,4,412.27620990944575,633.2762099094457,0.0
10,2,578.7237900905543,317.27620990944575,0.0
10,3,228.1713702716628,458.8286297283372,0.0
10,1,465.72379009055425,320.72379009055425,0.0
11,5,447.17137027166285,652.1713702716629,0.0
11,4,412.0,633.0,0.0
11,2,578.3588413139113,317.13693960184634,0.0
11,3,228.08118672271314,458.3925636070575,0.3333333333333333
11,1,465.4475801811085,320.4475801811085,0.0
12,5,447.0,652.0,0.0
12,4,412.27620990944575,633.2762099094457,0.0
12,2,578.0,317.0,0.0
12,3,228.0,458.0,0.6666666666666666
12,1,465.17137027166274,320.17137027166274,0.0
13,5,446.72379009055425,651.7237900905543,0.0
13,4,412.55241981889145,633.5524198188914,0.0
13,2,577.7237900905543,317.27620990944575,0.0
13,3,227.42132864504387,458.0,1.0
13,1,465.0,320.0,0.0
14,5,446.44758018110855,651.4475801811086,0.0
14,4,412.82862972833715,633.8286297283371,0.0
14,2,577.4475801811086,317.55241981889145,0.0
14,3,227.0,458.0,1.3333333333333333
14,1,464.72379009055425,319.72379009055425,0.0
15,5,446.17137027166285,651.1713702716629,0.0
15,4,413.0,634.0,0.0
15,2,577.1713702716629,317.82862972833715,0.0
15,3,226.76394683965714,458.23605316034286,1.6666666666666667
15,1,464.4475801811085,319.4475801811085,0.0
16,5,446.0,651.0,0.0
16,4,413.27620990944575,634.2762099094457,0.0
16,2,577.0,318.0,0.0
16,3,226.52789367931427,458.4721063206857,1.6666666666666667
16,1,464.17137027166274,319.17137027166274,0.0
17,5,445.72379009055425,650.7237900905543,0.0
17,4,413.55241981889145,634.5524198188914,0.0
17,2,576.7237900905543,318.27620990944575,0.0
17,3,226.2918405189714,458.7081594810286,1.6666666666666667
17,1,464.0,319.0,0.0
18,5,445.44758018110855,650.4475801811086,0.0
18,4,413.82862972833715,634.8286297283371,0.0
18,2,576.4475801811086,318.55241981889145,0.0
18,3,226.05578735862855,458.94421264137145,1.6666666666666667
18,1,463.72379009055425,318.72379009055425,0.0
19,5,445.17137027166285,650.1713702716629,0.0
19,4,414.0,635.0,0.0
19,2,576.1713702716629,318.82862972833715,0.0
19,3,226.0,459.0,1.6666666666666667
19,1,463.4475801811085,318.4475801811085,0.0
20,5,445.0,650.0,0.0
20,4,414.27620990944575,635.2762099094457,0.0
20,2,576.0,319.0,0.0
20,3,226.0,459.3338295807979,1.6666666666666667
20,1,463.17137027166274,318.17137027166274,0.0
21,5,444.72379009055425,649.7237900905543,0.0
21,4,414.55241981889145,635.5524198188914,0.0
21,2,575.7237900905543,319.27620990944575,0.0
21,3,226.0,459.6676591615958,1.6666666666666667
21,1,463.0,318.0,0.0
22,5,444.44758018110855,649.4475801811086,0.0
22,4,414.82862972833715,635.8286297283371,0.0
22,2,575.4475801811086,319.55241981889145,0.0
22,3,226.0,460.0,1.6666666666666667
22,1,462.72379009055425,317.72379009055425,0.0
23,5,444.17137027166285,649.1713702716629,0.0
23,4,415.0,636.0,0.0
23,2,575.1713702716629,319.82862972833715,0.0
23,3,225.76394683965714,460.23605316034286,1.6666666666666667
23,1,462.4475801811085,317.4475801811085,0.0
24,5,444.0,649.0,0.0
24,4,415.27620990944575,636.2762099094457,0.0
24,2,575.0,320.0,0.0
24,3,225.52789367931427,460.4721063206857,1.6666666666666667
24,1,462.17137027166274,317.17137027166274,0.0
25,5,444.27620990944575,648.7237900905543,0.0
25,4,415.55241981889145,636.5524198188914,0.0
25,2,574.7237900905543,320.27620990944575,0.0
25,3,225.2918405189714,460.7081594810286,1.6666666666666667
25,1,462.0,317.0,0.0
26,5,444.55241981889145,648.4475801811086,0.0
26,4,415.82862972833715,636.8286297283371,0.0
26,2,574.4475801811086,320.55241981889145,0.0
26,3,225.05578735862855,460.94421264137145,1.6666666666666667
26,1,461.72379009055425,316.72379009055425,0.0
27,5,444.82862972833715,648.1713702716629,0.0
27,4,416.0,637.0,0.0
27,2,574.1713702716629,320.82862972833715,0.0
27,3,225.0,461.0,1.6666666666666667
27,1,461.4475801811085,316.4475801811085,0.0
28,5,445.0,648.0,0.0
28,4,416.27620990944575,637.2762099094457,0.0
28,2,574.0,321.0,0.0
28,3,224.66617041920207,461.0,1.6666666666666667
28,1,461.17137027166274,316.17137027166274,0.0
29,5,445.27620990944575,647.7237900905543,0.0
29,4,416.55241981889145,637.5524198188914,0.0
29,2,573.7237900905543,321.27620990944575,0.0
29,3,224.33234083840415,461.0,1.6666666666666667
29,1,461.0,316.0,0.0
30,5,445.55241981889145,647.4475801811086,0.0
30,4,416.82862972833715,637.8286297283371,0.0
30,2,573.4475801811086,321.55241981889145,0.0
30,3,224.0,461.0,1.6666666666666667
30,1,460.72379009055425,315.72379009055425,0.0
31,5,445.82862972833715,647.1713702716629,0.0
31,4,417.0,638.0,0.0
31,2,573.1713702716629,321.82862972833715,0.0
31,3,223.76394683965714,460.76394683965714,1.6666666666666667
31,1,460.4475801811085,315.4475801811085,0.0
32,5,446.0,647.0,0.0
32,4,417.3906198,638.0,0.0
32,2,573.0,322.0,0.0
32,3,223.52789367931427,460.5278936793143,1.6666666666666667
32,1,460.17137027166274,315.17137027166274,0.0
33,5,446.27620990944575,646.7237900905543,0.0
33,4,417.78123960000005,638.0,0.0
33,2,572.7237900905543,322.27620990944575,0.0
33,3,223.2918405189714,460.2918405189714,1.6666666666666667
33,1,460.0,315.0,0.0
34,5,446.55241981889145,646.4475801811086,0.0
34,4,418.0,638.0,0.0
34,2,572.4475801811086,322.55241981889145,0.0
34,3,223.05578735862855,460.05578735862855,1.6666666666666667
34,1,459.72379009055425,314.72379009055425,0.0
35,5,446.82862972833715,646.1713702716629,0.0
35,4,418.27620990944575,638.2762099094457,0.0
35,2,572.1713702716629,322.82862972833715,0.0
35,3,223.0,460.0,1.6666666666666667
35,1,459.4475801811085,314.4475801811085,0.0
36,5,447.0,646.0,0.0
36,4,418.55241981889145,638.5524198188914,0.0
36,2,572.0,323.0,0.0
36,3,222.76394683965714,460.23605316034286,1.6666666666666667
36,1,459.17137027166274,314.17137027166274,0.0
37,5,447.27620990944575,646.2762099094457,0.0
37,4,418.82862972833715,638.8286297283371,0.0
37,2,571.7237900905543,323.27620990944575,0.0
37,3,222.52789367931427,460.4721063206857,1.6666666666666667
37,1,459.0,314.0,0.0
38,5,447.55241981889145,646.5524198188914,0.0
38,4,419.0,639.0,0.0
38,2,571.4475801811086,323.55241981889145,0.0
38,3,222.2918405189714,460.7081594810286,1.6666666666666667
38,1,458.72379009055425,313.72379009055425,0.0
39,5,447.82862972833715,646.8286297283371,0.0
39,4,419.27620990944575,638.7237900905543,0.0
39,2,571.1713702716629,323.82862972833715,0.0
39,3,222.05578735862855,460.94421264137145,1.6666666666666667
39,1,458.4475801811085,313.4475801811085,0.0
40,5,448.0,647.0,0.0
