Run;AgentID;TL_capped_max3
1;1;0
1;2;0
1;3;0
1;4;3
1;5;1,215
1;6;1,355
1;7;1,8
1;8;0
1;9;3
1;10;1,055
2;1;0
2;2;0,11
2;3;0,175
2;4;0,645
2;5;1,265
2;6;0
2;7;3
2;8;0
2;9;0
2;10;1,54
3;1;0
3;2;0
3;3;0
3;4;1,34
3;5;0
3;6;0
3;7;0
3;8;0
3;9;0
3;10;0,9
4;1;0
4;2;0
4;3;0,56
4;4;0,965
4;5;1,04
4;6;0
4;7;0,87
4;8;0,465
4;9;2,475
4;10;0
5;1;0
5;2;0
5;3;0
5;4;0
5;5;1,07
5;6;0
5;7;0
5;8;1,28
5;9;0
5;10;0
6;1;0
6;2;0
6;3;0
6;4;0
6;5;0
6;6;0
6;7;0
6;8;0
6;9;0
6;10;0
7;1;0
7;2;0
7;3;0
7;4;0
7;5;0
7;6;0
7;7;0
7;8;0
7;9;0
7;10;0
8;1;0
8;2;0
8;3;0
8;4;1,675
8;5;0
8;6;0
8;7;1,82
8;8;3
8;9;0
8;10;0
9;1;0
9;2;0
9;3;0
9;4;0
9;5;0
9;6;0,945
9;7;0
9;8;0
9;9;0
9;10;0
10;1;0
10;2;0
10;3;0
10;4;0
10;5;0
10;6;3
10;7;0
10;8;0
10;9;0
10;10;0
11;1;3
11;2;0
11;3;0
11;4;0
11;5;0
11;6;0
11;7;0
11;8;0,985
11;9;0,29
11;10;0
12;1;0
12;2;0
12;3;0
12;4;0
12;5;0
12;6;0
12;7;0
12;8;0
12;9;0,825
12;10;0
13;1;0,705
13;2;0
13;3;0,755
13;4;0
13;5;0
13;6;0
13;7;0
13;8;0
13;9;0
13;10;0
14;1;0
14;2;0
14;3;0
14;4;0
14;5;0
14;6;3
14;7;0
14;8;0
14;9;0
14;10;0
15;1;0
15;2;0,56
15;3;0,39
15;4;0
15;5;0
15;6;0
15;7;0
15;8;0,945
15;9;0
15;10;0
16;1;0
16;2;0
16;3;0
16;4;0
16;5;0
16;6;0
16;7;0
16;8;0
16;9;0
16;10;0
17;1;0,325
17;2;0
17;3;0
17;4;0,305
17;5;0
17;6;0
17;7;3
17;8;0
17;9;0
17;10;0
18;1;0,155
18;2;0
18;3;0,4
18;4;0
18;5;0
18;6;0
18;7;0,39
18;8;3
18;9;0
18;10;0
19;1;0
19;2;0,215
19;3;1,505
19;4;0
19;5;1,815
19;6;0
19;7;2,095
19;8;0,39
19;9;0
19;10;0
20;1;0
20;2;0
20;3;0
20;4;0
20;5;0
20;6;0
20;7;0
20;8;0
20;9;0,95
20;10;0
21;1;0
21;2;0
21;3;0
21;4;0
21;5;0
21;6;0
21;7;0,73
21;8;0
21;9;0
21;10;0
22;1;0
22;2;0
22;3;0
22;4;0
22;5;0
22;6;0
22;7;0
22;8;0
22;9;0
22;10;0
23;1;0
23;2;0
23;3;0
23;4;0
23;5;0,405
23;6;0
23;7;0
23;8;0
23;9;0
23;10;0,4
24;1;0
24;2;0
24;3;0
24;4;0
24;5;0
24;6;0
24;7;0
24;8;0
24;9;0
24;10;0
25;1;0
25;2;0
25;3;0,15
25;4;0,48
25;5;0
25;6;0
25;7;0
25;8;0
25;9;0
25;10;1,385
26;1;0
26;2;0
26;3;0
26;4;0,05
26;5;0
26;6;0
26;7;0,225
26;8;0
26;9;0
26;10;0
27;1;0
27;2;0
27;3;0
27;4;0
27;5;0
27;6;0
27;7;0,58
27;8;0
27;9;0
27;10;0
28;1;0
28;2;0
28;3;0,605
28;4;0
28;5;0
28;6;0,57
28;7;0
28;8;0
28;9;0
28;10;0
29;1;0
29;2;0
29;3;0
29;4;0
29;5;0
29;6;0
29;7;0
29;8;0
29;9;0
29;10;0
30;1;0
30;2;0
30;3;0
30;4;0
30;5;0,6
30;6;0
30;7;0
30;8;0
30;9;0
30;10;0
31;1;0
31;2;3
31;3;0
31;4;0
31;5;0
31;6;0
31;7;0,655
31;8;0
31;9;0
31;10;0,965
32;1;0
32;2;1,37
32;3;0
32;4;1,3
32;5;0
32;6;0
32;7;0
32;8;0
32;9;0
32;10;0
33;1;0
33;2;0
33;3;0
33;4;0,325
33;5;0
33;6;0
33;7;0
33;8;0
33;9;0
33;10;0,445
34;1;0
34;2;0
34;3;0
34;4;0
34;5;0
34;6;0
34;7;0
34;8;2,08
34;9;0,335
34;10;0
35;1;0
35;2;0
35;3;0
35;4;0
35;5;0
35;6;0
35;7;0
35;8;0,09
35;9;0
35;10;0
36;1;0
36;2;0
36;3;0
36;4;0
36;5;0
36;6;0
36;7;0
36;8;0
36;9;0
36;10;0
37;1;0
37;2;0
37;3;0
37;4;0
37;5;0
37;6;0
37;7;0
37;8;0
37;9;0
37;10;0
38;1;0
38;2;0
38;3;0
38;4;0
38;5;0,07
38;6;0
38;7;0
38;8;0
38;9;0
38;10;0
39;1;0
39;2;0
39;3;0
39;4;0
39;5;0,415
39;6;0
39;7;0
39;8;0
39;9;0
39;10;0
40;1;1,62
40;2;1,195
40;3;0
40;4;0
40;5;0
40;6;0
40;7;0
40;8;0,145
40;9;0
40;10;0
41;1;0
41;2;0
41;3;0
41;4;0
41;5;0
41;6;0
41;7;0
41;8;0
41;9;0,005
41;10;0
42;1;0,26
42;2;1,34
42;3;0
42;4;0,01
42;5;0
42;6;0
42;7;0
42;8;0
42;9;0,48
42;10;0,045
43;1;0
43;2;0
43;3;0
43;4;0
43;5;0,145
43;6;0
43;7;0,57
43;8;0,16
43;9;0
43;10;0
44;1;0
44;2;0,1
44;3;0
44;4;0
44;5;0
44;6;0
44;7;0
44;8;0
44;9;0,975
44;10;0
45;1;0,98
45;2;0
45;3;0
45;4;0
45;5;0
45;6;0
45;7;0
45;8;0
45;9;0
45;10;0
46;1;0
46;2;0
46;3;0
46;4;0
46;5;0
46;6;0
46;7;0
46;8;0
46;9;0
46;10;0,21
47;1;0
47;2;0
47;3;0,39
47;4;0
47;5;0
47;6;0
47;7;0
47;8;0
47;9;0
47;10;0
48;1;0
48;2;0
48;3;0
48;4;0
48;5;0
48;6;0
48;7;0
48;8;0
48;9;0
48;10;0
49;1;0
49;2;0,66
49;3;0
49;4;0
49;5;0
49;6;0
49;7;0
49;8;0
49;9;0
49;10;0
50;1;0
50;2;0
50;3;0
50;4;0
50;5;0
50;6;0
50;7;0
50;8;0
50;9;0
50;10;0
