Run;GoalCombinationIndex;Seed;InitialPathfindingTime_s;IncrementalPathfindingTime_s;SimulationTime_s;SumTL_capped;N_active_goals;ActiveGoalIndices_1to16;ActiveGoals_xy
1;1;745926819;10,896413;38,3831622;1,6961455;11,425;1;1;(500.0,854.0)
2;300;3034478148;26,8468951;169,7971572;0,1045411;6,735;3;"2;8;15";"(120.0,248.0); (864.0,503.0); (209.0,787.0)"
3;599;564855407;19,6756564;150,9665133;0,0389364;2,24;3;"7;14;15";"(703.0,187.0); (145.0,630.0); (209.0,787.0)"
4;897;1394952665;44,4570058;235,9107871;0,0448421;6,375;4;"1;5;8;11";"(500.0,854.0); (853.0,659.0); (864.0,503.0); (223.0,198.0)"
5;1196;1287994059;36,5147299;212,8655663;0,0394742;2,35;4;"2;4;8;14";"(120.0,248.0); (351.0,924.0); (864.0,503.0); (145.0,630.0)"
6;1495;935470333;44,7721055;201,3219747;0,0420523;0;4;"3;5;9;15";"(691.0,750.0); (853.0,659.0); (652.0,73.0); (209.0,787.0)"
7;1794;1544656427;31,8811017;189,3970654;0,0356562;0;4;"4;7;11;15";"(351.0,924.0); (703.0,187.0); (223.0,198.0); (209.0,787.0)"
8;2092;585952044;29,0724751;187,4976589;0,0400216;6,495;4;"6;9;11;15";"(795.0,375.0); (652.0,73.0); (223.0,198.0); (209.0,787.0)"
9;2391;2432033826;35,1204207;242,5360417;0,0454468;0,945;5;"1;2;4;10;13";"(500.0,854.0); (120.0,248.0); (351.0,924.0); (325.0,150.0); (88.0,493.0)"
10;2690;2025518982;54,4724772;266,8041343;0,0485999;3;5;"1;3;8;12;15";"(500.0,854.0); (691.0,750.0); (864.0,503.0); (473.0,78.0); (209.0,787.0)"
11;2989;2878647086;49,3851603;323,657795;0,1881456;4,275;5;"1;5;8;10;11";"(500.0,854.0); (853.0,659.0); (864.0,503.0); (325.0,150.0); (223.0,198.0)"
12;3287;1489235584;59,7261722;218,0550738;0,0404434;0,825;5;"1;9;10;13;16";"(500.0,854.0); (652.0,73.0); (325.0,150.0); (88.0,493.0); (39.0,379.0)"
13;3586;2883903825;51,2764345;268,2039626;0,043661;1,46;5;"2;4;5;8;15";"(120.0,248.0); (351.0,924.0); (853.0,659.0); (864.0,503.0); (209.0,787.0)"
14;3885;3719764733;29,4882831;198,9612105;0,0356021;3;5;"2;6;7;12;13";"(120.0,248.0); (795.0,375.0); (703.0,187.0); (473.0,78.0); (88.0,493.0)"
15;4184;3246422816;38,1025916;212,3060441;0,0412501;1,895;5;"3;4;10;11;14";"(691.0,750.0); (351.0,924.0); (325.0,150.0); (223.0,198.0); (145.0,630.0)"
16;4482;2306530752;45,3801242;248,4725441;0,0298214;0;5;"3;7;8;15;16";"(691.0,750.0); (703.0,187.0); (864.0,503.0); (209.0,787.0); (39.0,379.0)"
17;4781;1417937376;42,9043299;232,2634571;0,0474744;3,63;5;"4;5;11;14;16";"(351.0,924.0); (853.0,659.0); (223.0,198.0); (145.0,630.0); (39.0,379.0)"
18;5080;1137707885;49,6016894;263,5158357;0,0405826;3,945;5;"5;6;8;11;12";"(853.0,659.0); (795.0,375.0); (864.0,503.0); (223.0,198.0); (473.0,78.0)"
19;5379;1734107846;47,9241047;249,2431914;0,0463919;6,02;5;"6;9;10;11;15";"(795.0,375.0); (652.0,73.0); (325.0,150.0); (223.0,198.0); (209.0,787.0)"
20;5677;3429621551;46,8242952;288,9773296;0,0391782;0,95;6;"1;2;3;9;13;14";"(500.0,854.0); (120.0,248.0); (691.0,750.0); (652.0,73.0); (88.0,493.0); (145.0,630.0)"
21;5976;3478348088;42,9640821;285,0926384;0,0418282;0,73;6;"1;2;6;7;12;16";"(500.0,854.0); (120.0,248.0); (795.0,375.0); (703.0,187.0); (473.0,78.0); (39.0,379.0)"
22;6275;2937829273;50,5617953;309,7200274;0,0320522;0;6;"1;3;7;9;13;15";"(500.0,854.0); (691.0,750.0); (703.0,187.0); (652.0,73.0); (88.0,493.0); (209.0,787.0)"
23;6574;2270932946;55,8604423;307,2833365;0,0392669;0,805;6;"1;4;8;9;10;11";"(500.0,854.0); (351.0,924.0); (864.0,503.0); (652.0,73.0); (325.0,150.0); (223.0,198.0)"
24;6872;4033531391;53,3789937;312,4668724;0,0458503;0;6;"1;5;8;10;15;16";"(500.0,854.0); (853.0,659.0); (864.0,503.0); (325.0,150.0); (209.0,787.0); (39.0,379.0)"
25;7171;620474701;37,8931499;247,5366884;0,045286;2,015;6;"1;9;10;11;13;14";"(500.0,854.0); (652.0,73.0); (325.0,150.0); (223.0,198.0); (88.0,493.0); (145.0,630.0)"
26;7470;9435626;46,7420564;279,5516453;0,0504693;0,275;6;"2;3;6;7;15;16";"(120.0,248.0); (691.0,750.0); (795.0,375.0); (703.0,187.0); (209.0,787.0); (39.0,379.0)"
27;7769;1283029359;43,4035707;275,8494872;0,0392513;0,58;6;"2;4;6;7;11;13";"(120.0,248.0); (351.0,924.0); (795.0,375.0); (703.0,187.0); (223.0,198.0); (88.0,493.0)"
28;8067;272431614;38,8195828;268,668475;0,1056482;1,175;6;"2;5;7;12;13;16";"(120.0,248.0); (853.0,659.0); (703.0,187.0); (473.0,78.0); (88.0,493.0); (39.0,379.0)"
29;8366;3704995723;46,9252449;308,3419347;0,0463322;0;6;"3;4;7;9;14;16";"(691.0,750.0); (351.0,924.0); (703.0,187.0); (652.0,73.0); (145.0,630.0); (39.0,379.0)"
30;8665;22762551;58,0707082;334,027285;0,04184;0,6;6;"3;5;8;9;10;14";"(691.0,750.0); (853.0,659.0); (864.0,503.0); (652.0,73.0); (325.0,150.0); (145.0,630.0)"
31;8964;3039674852;51,7533562;280,0089923;0,0457693;4,62;6;"3;8;9;11;12;16";"(691.0,750.0); (864.0,503.0); (652.0,73.0); (223.0,198.0); (473.0,78.0); (39.0,379.0)"
32;9262;1952758979;46,9613612;295,6183197;0,0486956;2,67;6;"4;5;10;11;14;15";"(351.0,924.0); (853.0,659.0); (325.0,150.0); (223.0,198.0); (145.0,630.0); (209.0,787.0)"
33;9561;175183455;54,563878;263,8426058;0,046573;0,77;6;"5;6;8;10;11;15";"(853.0,659.0); (795.0,375.0); (864.0,503.0); (325.0,150.0); (223.0,198.0); (209.0,787.0)"
34;9860;2394633747;38,8475634;276,5108898;0,0397454;2,415;6;"7;9;10;12;13;15";"(703.0,187.0); (652.0,73.0); (325.0,150.0); (473.0,78.0); (88.0,493.0); (209.0,787.0)"
35;10159;2513995735;48,3043422;312,0768725;0,0405451;0,09;7;"1;2;4;7;9;10;13";"(500.0,854.0); (120.0,248.0); (351.0,924.0); (703.0,187.0); (652.0,73.0); (325.0,150.0); (88.0,493.0)"
36;10457;2509034862;52,5038608;337,4259392;0,0468525;0;7;"1;2;6;8;11;14;16";"(500.0,854.0); (120.0,248.0); (795.0,375.0); (864.0,503.0); (223.0,198.0); (145.0,630.0); (39.0,379.0)"
37;10756;727682802;66,7704346;343,7798421;0,1103474;0;7;"1;3;8;10;11;14;15";"(500.0,854.0); (691.0,750.0); (864.0,503.0); (325.0,150.0); (223.0,198.0); (145.0,630.0); (209.0,787.0)"
38;11055;3979590414;55,787314;360,2468975;0,0446184;0,07;7;"1;5;6;7;11;12;13";"(500.0,854.0); (853.0,659.0); (795.0,375.0); (703.0,187.0); (223.0,198.0); (473.0,78.0); (88.0,493.0)"
39;11354;77771423;54,5751569;350,8415385;0,0493701;0,415;7;"1;7;8;10;12;13;15";"(500.0,854.0); (703.0,187.0); (864.0,503.0); (325.0,150.0); (473.0,78.0); (88.0,493.0); (209.0,787.0)"
40;11652;343985164;57,7445719;358,7439313;0,0493988;2,96;7;"2;3;5;6;12;15;16";"(120.0,248.0); (691.0,750.0); (853.0,659.0); (795.0,375.0); (473.0,78.0); (209.0,787.0); (39.0,379.0)"
41;11951;398935661;71,5821819;369,3571645;0,0446891;0,005;7;"2;4;5;7;8;12;15";"(120.0,248.0); (351.0,924.0); (853.0,659.0); (703.0,187.0); (864.0,503.0); (473.0,78.0); (209.0,787.0)"
42;12250;600602398;56,3563181;344,3948474;0,0432613;2,135;7;"2;5;8;9;10;14;15";"(120.0,248.0); (853.0,659.0); (864.0,503.0); (652.0,73.0); (325.0,150.0); (145.0,630.0); (209.0,787.0)"
43;12549;3263033649;66,1029784;347,6525637;0,0534827;0,875;7;"3;5;6;8;10;11;15";"(691.0,750.0); (853.0,659.0); (795.0,375.0); (864.0,503.0); (325.0,150.0); (223.0,198.0); (209.0,787.0)"
44;12847;2188434833;47,4205525;346,1023165;0,044976;1,075;7;"3;7;9;10;12;13;14";"(691.0,750.0); (703.0,187.0); (652.0,73.0); (325.0,150.0); (473.0,78.0); (88.0,493.0); (145.0,630.0)"
45;13146;1143909802;52,2751199;317,8267032;0,0521112;0,98;7;"4;6;7;11;12;15;16";"(351.0,924.0); (795.0,375.0); (703.0,187.0); (223.0,198.0); (473.0,78.0); (209.0,787.0); (39.0,379.0)"
46;13445;3429150011;59,1475616;366,6747279;0,0475292;0,21;8;"1;2;3;8;9;11;14;16";"(500.0,854.0); (120.0,248.0); (691.0,750.0); (864.0,503.0); (652.0,73.0); (223.0,198.0); (145.0,630.0); (39.0,379.0)"
47;13744;4217413196;58,9726394;356,0558649;0,0455578;0,39;8;"1;3;7;9;10;11;14;15";"(500.0,854.0); (691.0,750.0); (703.0,187.0); (652.0,73.0); (325.0,150.0); (223.0,198.0); (145.0,630.0); (209.0,787.0)"
48;14042;1159421625;62,1871397;387,534698;0,0525007;0;8;"2;3;4;6;9;12;13;15";"(120.0,248.0); (691.0,750.0); (351.0,924.0); (795.0,375.0); (652.0,73.0); (473.0,78.0); (88.0,493.0); (209.0,787.0)"
49;14341;1409830798;68,9491052;446,6597689;0,059132;0,66;8;"3;4;6;8;10;12;13;14";"(691.0,750.0); (351.0,924.0); (795.0,375.0); (864.0,503.0); (325.0,150.0); (473.0,78.0); (88.0,493.0); (145.0,630.0)"
50;14640;781360843;69,1152675;417,3231521;0,0509022;0;8;"4;5;8;9;11;12;15;16";"(351.0,924.0); (853.0,659.0); (864.0,503.0); (652.0,73.0); (223.0,198.0); (473.0,78.0); (209.0,787.0); (39.0,379.0)"
Number of runs;50;;;;;;;;
Average initial pathfinding time (s);48,1772559;;;;;;;;
Average incremental pathfinding time (s);284,1270506;;;;;;;;
Average total pathfinding time (s);332,3043065;;;;;;;;
Average simulation time (s);0,083842984;;;;;;;;
BENCHMARK_T_STEPS;2500;;;;;;;;
CM_ACTIVE_FRACTION_BENCH;0,7;;;;;;;;
EnumeratedGoalCombinations_N;14640;;;;;;;;
