step	id	pos	toxicload
1	2	(451.0397618936534, 478.0397618936534)	0.015
1	3	(460.0397618936534, 449.9602381063466)	0.015
1	1	(407.0397618936534, 494.96023810634654)	0.015
2	2	(450.07384646620704, 477.07384646620704)	0.03
2	3	(459.07384646620704, 450.07384646620704)	0.03
2	1	(405.89732789285677, 495.49999999999994)	0.03
3	2	(449.5, 475.93745434272313)	0.045
3	3	(457.93745434272313, 449.5)	0.045
3	1	(404.809326932199, 494.809326932199)	0.045
4	2	(448.83195596414816, 474.83195596414816)	0.06
4	3	(456.55524306423587, 449.5)	0.06
4	1	(403.8319559641481, 493.8319559641481)	0.06
5	2	(447.84880637849966, 473.84880637849966)	0.07500000000000001
5	3	(455.26301994087277, 449.73698005912723)	0.07500000000000001
5	1	(402.8488063784996, 492.8488063784996)	0.07500000000000001
6	2	(446.85984400969875, 474.14015599030125)	0.09000000000000001
6	3	(454.27405757207185, 450.72594242792815)	0.09000000000000001
6	1	(401.5946827164815, 492.5)	0.09000000000000001
7	2	(445.8650344901899, 473.8650344901899)	0.10500000000000001
7	3	(453.279248052563, 451.720751947437)	0.10500000000000001
7	1	(400.27924805256293, 492.27924805256293)	0.10500000000000001
8	2	(444.86434324922254, 472.86434324922254)	0.12
8	3	(452.27855681159565, 452.27855681159565)	0.12
8	1	(399.18683203966333, 491.49999999999994)	0.12
9	2	(445.1422644883504, 471.8577355116496)	0.135
9	3	(451.1774872875712, 451.5)	0.135
9	1	(397.763273725198, 491.49999999999994)	0.135
10	2	(444.84517629671916, 470.84517629671916)	0.15
10	3	(449.9664966402788, 452.0335033597212)	0.15
10	1	(396.6736034214653, 492.3263965785346)	0.15
